,ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,W0001,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,2.0
1,W0002,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,,9.5,2.0
2,W0003,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,,10.1,2.0
3,W0004,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,2.0
4,W0005,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,2.0
5,W0006,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,2.0
6,W0007,6.2,0.32,,7.0,0.045,30.0,136.0,0.9949,,0.47,9.6,2.0
7,W0008,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,2.0
8,W0009,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,,9.5,2.0
9,W0010,8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,2.0
10,W0011,8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,1.0
11,W0012,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,,0.53,9.7,1.0
12,W0013,7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,1.0
13,W0014,6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,,0.52,12.4,2.0
14,W0015,8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,1.0
15,W0016,6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,2.0
16,W0017,6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,2.0
17,W0018,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,2.0
18,W0019,7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,2.0
19,W0020,6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,1.0
20,W0021,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,2.0
21,W0022,6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,,0.35,11.0,2.0
22,W0023,6.8,0.26,0.42,1.7,0.049,41.0,122.0,0.993,3.47,0.48,10.5,2.0
23,W0024,7.6,0.67,0.14,1.5,0.074,25.0,168.0,0.9937,3.05,,9.3,1.0
24,W0025,6.6,0.27,,1.3,0.052,16.0,142.0,0.9951,3.42,0.47,10.0,2.0
25,W0026,7.0,0.25,0.32,9.0,0.046,56.0,245.0,0.9955,3.25,0.5,10.4,2.0
26,W0027,6.9,0.24,0.35,1.0,0.052,35.0,146.0,0.993,3.45,0.44,10.0,2.0
27,W0028,7.0,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,,0.53,10.5,2.0
28,W0029,7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,2.0
29,W0030,7.2,0.32,,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,2.0
30,W0031,8.5,0.24,0.39,10.4,0.044,20.0,142.0,0.9974,3.2,0.53,10.0,2.0
31,W0032,8.3,0.14,0.34,1.1,0.042,7.0,47.0,0.9934,3.47,0.4,10.2,2.0
32,W0033,7.4,0.25,0.36,2.05,0.05,31.0,100.0,0.992,3.19,0.44,10.8,2.0
33,W0034,6.2,0.12,,1.5,0.045,43.0,117.0,0.9939,,0.51,9.0,2.0
34,W0035,5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.9962,3.37,,10.2,1.0
35,W0036,7.3,0.28,0.43,1.7,0.08,21.0,123.0,0.9905,,,12.8,1.0
36,W0037,6.5,0.39,0.23,5.4,0.051,25.0,149.0,0.9934,,0.35,10.0,1.0
37,W0038,7.0,0.33,0.32,1.2,0.053,38.0,138.0,0.9906,3.13,0.28,11.2,2.0
38,W0039,7.3,0.24,,17.95,0.057,45.0,149.0,0.9999,,0.36,8.6,1.0
39,W0040,7.3,0.24,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6,1.0
40,W0041,6.7,0.23,0.39,2.5,0.172,63.0,158.0,0.9937,3.11,0.36,9.4,2.0
41,W0042,6.7,0.24,0.39,2.9,0.173,63.0,157.0,0.9937,3.1,0.34,9.4,2.0
42,W0043,7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.9954,3.13,0.46,9.8,2.0
43,W0044,6.6,0.24,0.27,1.4,0.057,33.0,152.0,0.9934,3.22,,9.5,2.0
44,W0045,6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56,9.5,2.0
45,W0046,7.4,0.18,0.31,1.4,0.058,38.0,167.0,0.9931,3.16,0.53,10.0,2.0
46,W0047,6.2,0.45,0.26,4.4,0.063,63.0,206.0,0.994,,0.52,9.8,1.0
47,W0048,6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,,9.8,1.0
48,W0049,7.0,0.31,,7.4,0.069,28.0,160.0,0.9954,,0.46,9.8,2.0
49,W0050,6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.995,3.36,0.48,9.8,1.0
50,W0051,7.2,0.19,0.31,1.6,0.062,31.0,173.0,0.9917,3.35,0.44,11.7,2.0
51,W0052,6.6,0.25,0.29,1.1,0.068,39.0,124.0,0.9914,3.34,0.58,11.0,2.0
52,W0053,6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,,0.46,10.9,2.0
53,W0054,6.4,0.18,0.35,1.0,0.045,39.0,108.0,0.9911,3.31,0.35,10.9,2.0
54,W0055,6.8,0.2,0.59,0.9,0.147,38.0,132.0,0.993,3.05,,9.1,2.0
55,W0056,6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,2.0
56,W0057,7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.9962,3.09,,9.6,2.0
57,W0058,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,2.0
58,W0059,6.6,0.38,,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,2.0
59,W0060,7.4,0.2,0.36,1.2,0.038,44.0,111.0,0.9926,3.36,0.34,9.9,2.0
60,W0061,6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.9951,3.03,0.46,8.6,2.0
61,W0062,6.0,0.19,0.26,12.4,0.048,50.0,147.0,0.9972,3.3,0.36,8.9,2.0
62,W0063,7.0,0.47,0.07,1.1,0.035,17.0,151.0,0.991,3.02,0.34,10.5,1.0
63,W0064,6.6,0.38,0.15,4.6,0.044,25.0,78.0,0.9931,3.11,0.38,10.2,2.0
64,W0065,7.2,0.24,0.27,1.4,0.038,31.0,122.0,0.9927,3.15,0.46,10.3,2.0
65,W0066,6.2,0.35,0.03,1.2,0.064,29.0,120.0,0.9934,,0.54,9.1,1.0
66,W0067,6.4,0.26,0.24,6.4,0.04,27.0,124.0,0.9903,3.22,0.49,12.6,2.0
